ip_address,label
10.0.56.102,bot
10.0.10.88,bot
10.0.234.180,bot
10.0.5.222,bot
10.0.243.229,bot
10.0.155.13,bot
10.0.88.73,bot
10.0.39.18,bot
10.0.61.100,bot
10.0.169.79,bot
10.0.12.196,bot
10.0.148.67,bot
10.0.66.203,bot
10.0.247.210,bot
10.0.157.107,bot
10.0.168.179,bot
10.0.199.17,bot
10.0.204.120,bot
10.0.176.51,bot
10.0.177.150,bot
10.0.48.19,bot
10.0.154.107,bot
10.0.186.39,bot
10.0.35.191,bot
10.0.45.125,bot
10.0.252.229,bot
10.0.33.117,bot
10.0.136.252,bot
10.0.75.121,bot
10.0.64.130,bot
10.0.10.140,bot
10.0.93.40,bot
10.0.255.152,bot
10.0.203.104,bot
10.0.51.231,bot
10.0.51.231,bot
172.217.166.46,c2_server
208.80.154.224,c2_server
