ip_address,label
10.0.104.142,bot
10.0.114.91,bot
10.0.115.38,bot
10.0.119.188,bot
10.0.128.41,bot
10.0.131.223,bot
10.0.134.26,bot
10.0.135.121,bot
10.0.136.121,bot
10.0.147.5,bot
10.0.154.238,bot
10.0.165.71,bot
10.0.172.142,bot
10.0.177.108,bot
10.0.189.250,bot
10.0.198.128,bot
10.0.198.15,bot
10.0.20.42,bot
10.0.212.130,bot
10.0.213.119,bot
10.0.213.50,bot
10.0.213.53,bot
10.0.216.41,bot
10.0.218.236,bot
10.0.219.138,bot
10.0.222.91,bot
10.0.225.105,bot
10.0.227.249,bot
10.0.228.223,bot
10.0.23.130,bot
10.0.239.202,bot
10.0.245.89,bot
10.0.249.84,bot
10.0.25.154,bot
10.0.28.92,bot
10.0.39.180,bot
10.0.41.113,bot
10.0.43.103,bot
10.0.66.67,bot
10.0.80.53,bot
10.0.88.118,bot
10.0.91.93,bot
10.0.95.204,bot
10.0.99.117,bot
100.137.169.165,bot
101.204.152.91,bot
103.75.111.219,bot
11.242.200.142,bot
111.175.16.18,bot
113.15.254.108,bot
114.202.207.213,bot
115.106.50.110,bot
116.21.138.37,bot
12.234.90.169,bot
12.5.29.148,bot
120.129.26.178,bot
121.238.5.113,bot
122.162.170.235,bot
122.216.188.242,bot
122.225.186.145,bot
122.76.84.224,bot
122.98.27.208,bot
123.96.34.100,bot
129.82.226.72,bot
13.26.150.246,bot
130.226.138.44,bot
131.170.19.47,bot
132.207.105.116,bot
132.80.81.144,bot
133.28.223.5,bot
134.69.38.96,bot
134.7.147.38,bot
134.81.96.168,bot
137.152.29.28,bot
137.176.208.76,bot
137.187.204.207,bot
138.156.216.79,bot
139.91.186.161,bot
14.155.110.19,bot
14.198.5.201,bot
141.168.194.108,bot
141.247.186.47,bot
141.46.239.235,bot
143.224.244.91,bot
145.113.178.219,bot
147.187.231.196,bot
148.153.115.93,bot
150.224.2.58,bot
150.239.160.220,bot
150.51.94.186,bot
151.129.191.234,bot
152.212.83.10,bot
152.62.54.215,bot
153.144.97.250,bot
153.156.44.53,bot
153.58.226.184,bot
154.202.253.148,bot
155.113.32.183,bot
155.128.123.92,bot
155.153.136.91,bot
156.200.195.122,bot
157.113.139.98,bot
157.210.234.217,bot
157.232.31.226,bot
157.65.149.130,bot
158.173.129.35,bot
158.31.153.117,bot
158.69.66.75,bot
158.81.123.228,bot
160.202.131.44,bot
163.202.140.122,bot
165.15.250.131,bot
165.7.106.34,bot
165.73.157.24,bot
166.148.129.104,bot
166.94.235.52,bot
167.149.207.215,bot
168.228.51.54,bot
169.171.21.69,bot
169.71.48.198,bot
17.66.56.144,bot
170.69.162.175,bot
170.85.45.18,bot
171.153.146.186,bot
171.29.179.144,bot
172.198.122.114,bot
172.217.166.46,bot
172.33.238.165,bot
172.6.80.89,bot
173.185.235.168,bot
173.47.242.162,bot
174.31.139.27,bot
176.167.145.224,bot
176.184.231.120,bot
178.89.119.105,bot
179.190.157.30,bot
179.25.248.203,bot
181.227.104.130,bot
182.120.65.122,bot
183.178.126.9,bot
183.231.176.41,bot
184.67.14.203,bot
185.214.159.99,bot
187.132.36.180,bot
189.228.79.58,bot
189.55.75.17,bot
191.13.8.255,bot
191.65.198.30,bot
192.0.163.59,bot
193.127.103.204,bot
193.22.207.91,bot
193.255.159.202,bot
194.205.254.34,bot
196.155.220.43,bot
196.164.68.220,bot
196.65.25.67,bot
196.93.231.29,bot
197.91.203.242,bot
198.6.168.164,bot
200.156.150.177,bot
202.125.189.138,bot
202.146.61.165,bot
203.12.25.143,bot
203.39.64.159,bot
203.73.201.118,bot
204.158.88.245,bot
204.180.20.164,bot
204.213.33.131,bot
204.222.25.160,bot
204.91.127.189,bot
205.104.25.93,bot
205.41.174.78,bot
205.56.94.106,bot
205.69.174.181,bot
206.12.166.175,bot
206.43.19.68,bot
206.6.39.92,bot
207.162.179.180,bot
207.208.30.224,bot
207.211.252.105,bot
207.53.232.32,bot
208.178.20.224,bot
208.63.3.136,bot
208.80.154.224,bot
209.225.63.98,bot
209.39.6.145,bot
209.93.252.176,bot
210.137.153.20,bot
210.88.44.41,bot
211.110.21.166,bot
211.163.160.244,bot
211.179.205.22,bot
211.187.20.145,bot
211.20.96.48,bot
211.72.113.120,bot
212.101.22.153,bot
212.237.90.227,bot
213.7.142.83,bot
213.84.72.145,bot
214.240.159.118,bot
215.133.124.179,bot
215.141.59.161,bot
215.144.238.45,bot
215.184.23.204,bot
215.62.176.99,bot
215.77.192.146,bot
216.56.41.128,bot
217.5.166.185,bot
218.195.46.119,bot
218.197.153.240,bot
218.233.119.29,bot
219.16.197.37,bot
219.182.226.253,bot
22.120.128.53,bot
220.34.217.42,bot
220.37.186.94,bot
220.64.134.105,bot
221.12.33.253,bot
223.186.232.119,bot
223.237.112.70,bot
223.250.145.182,bot
223.6.111.245,bot
223.75.92.144,bot
3.219.222.17,bot
3.226.50.60,bot
30.5.130.64,bot
32.116.169.223,bot
35.164.52.89,bot
35.216.189.123,bot
35.23.115.232,bot
4.51.117.113,bot
43.112.115.164,bot
47.165.148.97,bot
47.74.127.105,bot
48.114.0.67,bot
48.50.109.150,bot
49.172.251.182,bot
49.71.61.50,bot
51.204.201.212,bot
55.148.187.40,bot
56.177.208.28,bot
56.202.14.47,bot
60.251.132.162,bot
