ip_address,label
10.0.104.142,bots
10.0.114.91,bots
10.0.115.38,bots
10.0.119.188,bots
10.0.128.41,bots
10.0.131.223,bots
10.0.134.26,bots
10.0.135.121,bots
10.0.136.121,bots
10.0.147.5,bots
10.0.154.238,bots
10.0.165.71,bots
10.0.172.142,bots
10.0.177.108,bots
10.0.189.250,bots
10.0.198.128,bots
10.0.198.15,bots
10.0.20.42,bots
10.0.212.130,bots
10.0.213.119,bots
10.0.213.50,bots
10.0.213.53,bots
10.0.216.41,bots
10.0.218.236,bots
10.0.219.138,bots
10.0.222.91,bots
10.0.225.105,bots
10.0.227.249,bots
10.0.228.223,bots
10.0.23.130,bots
10.0.239.202,bots
10.0.245.89,bots
10.0.249.84,bots
10.0.25.154,bots
10.0.28.92,bots
10.0.39.180,bots
10.0.41.113,bots
10.0.43.103,bots
10.0.66.67,bots
10.0.80.53,bots
10.0.88.118,bots
10.0.91.93,bots
10.0.95.204,bots
10.0.99.117,bots
100.137.169.165,bots
101.204.152.91,bots
103.75.111.219,bots
11.242.200.142,bots
111.175.16.18,bots
113.15.254.108,bots
114.202.207.213,bots
115.106.50.110,bots
116.21.138.37,bots
12.234.90.169,bots
12.5.29.148,bots
120.129.26.178,bots
121.238.5.113,bots
122.162.170.235,bots
122.216.188.242,bots
122.225.186.145,bots
122.76.84.224,bots
122.98.27.208,bots
123.96.34.100,bots
129.82.226.72,bots
13.26.150.246,bots
130.226.138.44,bots
131.170.19.47,bots
132.207.105.116,bots
132.80.81.144,bots
133.28.223.5,bots
134.69.38.96,bots
134.7.147.38,bots
134.81.96.168,bots
137.152.29.28,bots
137.176.208.76,bots
137.187.204.207,bots
138.156.216.79,bots
139.91.186.161,bots
14.155.110.19,bots
14.198.5.201,bots
141.168.194.108,bots
141.247.186.47,bots
141.46.239.235,bots
143.224.244.91,bots
145.113.178.219,bots
147.187.231.196,bots
148.153.115.93,bots
150.224.2.58,bots
150.239.160.220,bots
150.51.94.186,bots
151.129.191.234,bots
152.212.83.10,bots
152.62.54.215,bots
153.144.97.250,bots
153.156.44.53,bots
153.58.226.184,bots
154.202.253.148,bots
155.113.32.183,bots
155.128.123.92,bots
155.153.136.91,bots
156.200.195.122,bots
157.113.139.98,bots
157.210.234.217,bots
157.232.31.226,bots
157.65.149.130,bots
158.173.129.35,bots
158.31.153.117,bots
158.69.66.75,bots
158.81.123.228,bots
160.202.131.44,bots
163.202.140.122,bots
165.15.250.131,bots
165.7.106.34,bots
165.73.157.24,bots
166.148.129.104,bots
166.94.235.52,bots
167.149.207.215,bots
168.228.51.54,bots
169.171.21.69,bots
169.71.48.198,bots
17.66.56.144,bots
170.69.162.175,bots
170.85.45.18,bots
171.153.146.186,bots
171.29.179.144,bots
172.198.122.114,bots
172.217.166.46,bots
172.33.238.165,bots
172.6.80.89,bots
173.185.235.168,bots
173.47.242.162,bots
174.31.139.27,bots
176.167.145.224,bots
176.184.231.120,bots
178.89.119.105,bots
179.190.157.30,bots
179.25.248.203,bots
181.227.104.130,bots
182.120.65.122,bots
183.178.126.9,bots
183.231.176.41,bots
184.67.14.203,bots
185.214.159.99,bots
187.132.36.180,bots
189.228.79.58,bots
189.55.75.17,bots
191.13.8.255,bots
191.65.198.30,bots
192.0.163.59,bots
193.127.103.204,bots
193.22.207.91,bots
193.255.159.202,bots
194.205.254.34,bots
196.155.220.43,bots
196.164.68.220,bots
196.65.25.67,bots
196.93.231.29,bots
197.91.203.242,bots
198.6.168.164,bots
200.156.150.177,bots
202.125.189.138,bots
202.146.61.165,bots
203.12.25.143,bots
203.39.64.159,bots
203.73.201.118,bots
204.158.88.245,bots
204.180.20.164,bots
204.213.33.131,bots
204.222.25.160,bots
204.91.127.189,bots
205.104.25.93,bots
205.41.174.78,bots
205.56.94.106,bots
205.69.174.181,bots
206.12.166.175,bots
206.43.19.68,bots
206.6.39.92,bots
207.162.179.180,bots
207.208.30.224,bots
207.211.252.105,bots
207.53.232.32,bots
208.178.20.224,bots
208.63.3.136,bots
208.80.154.224,bots
209.225.63.98,bots
209.39.6.145,bots
209.93.252.176,bots
210.137.153.20,bots
210.88.44.41,bots
211.110.21.166,bots
211.163.160.244,bots
211.179.205.22,bots
211.187.20.145,bots
211.20.96.48,bots
211.72.113.120,bots
212.101.22.153,bots
212.237.90.227,bots
213.7.142.83,bots
213.84.72.145,bots
214.240.159.118,bots
215.133.124.179,bots
215.141.59.161,bots
215.144.238.45,bots
215.184.23.204,bots
215.62.176.99,bots
215.77.192.146,bots
216.56.41.128,bots
217.5.166.185,bots
218.195.46.119,bots
218.197.153.240,bots
218.233.119.29,bots
219.16.197.37,bots
219.182.226.253,bots
22.120.128.53,bots
220.34.217.42,bots
220.37.186.94,bots
220.64.134.105,bots
221.12.33.253,bots
223.186.232.119,bots
223.237.112.70,bots
223.250.145.182,bots
223.6.111.245,bots
223.75.92.144,bots
3.219.222.17,bots
3.226.50.60,bots
30.5.130.64,bots
32.116.169.223,bots
35.164.52.89,bots
35.216.189.123,bots
35.23.115.232,bots
4.51.117.113,bots
43.112.115.164,bots
47.165.148.97,bots
47.74.127.105,bots
48.114.0.67,bots
48.50.109.150,bots
49.172.251.182,bots
49.71.61.50,bots
51.204.201.212,bots
55.148.187.40,bots
56.177.208.28,bots
56.202.14.47,bots
60.251.132.162,bots
61.37.98.128,bots
61.59.87.153,bots
66.133.193.112,bots
66.29.46.234,bots
72.76.70.182,bots
73.179.92.253,bots
73.251.137.253,bots
74.42.132.24,bots
78.106.152.189,bots
78.18.58.207,bots
78.209.95.249,bots
78.225.151.177,bots
79.66.216.215,bots
86.215.218.144,bots
88.146.150.199,bots
9.105.37.0,bots
91.57.106.211,bots
95.179.134.181,bots
96.191.29.193,bots
97.88.120.244,bots
1.238.214.82,bots
10.0.137.167,bots
10.0.171.59,bots
10.0.22.129,bots
10.0.222.77,bots
10.0.98.195,bots
102.250.13.55,bots
103.151.156.35,bots
107.223.38.119,bots
107.246.183.97,bots
11.114.88.121,bots
110.215.187.214,bots
111.157.127.177,bots
113.65.154.30,bots
115.132.68.78,bots
115.15.153.89,bots
115.242.37.110,bots
115.252.203.85,bots
116.91.139.119,bots
119.159.122.241,bots
12.124.153.199,bots
12.86.249.3,bots
123.24.209.125,bots
125.196.59.111,bots
126.9.250.130,bots
128.102.114.186,bots
128.172.175.248,bots
128.203.131.26,bots
128.224.27.237,bots
129.163.173.169,bots
13.138.55.122,bots
131.104.25.14,bots
132.100.227.121,bots
132.40.0.216,bots
133.44.131.148,bots
134.152.53.91,bots
134.177.87.66,bots
136.165.150.131,bots
136.190.198.15,bots
136.6.176.187,bots
137.45.55.183,bots
138.23.219.2,bots
141.153.85.93,bots
141.4.246.185,bots
141.42.139.244,bots
141.97.121.91,bots
143.98.206.51,bots
145.108.134.187,bots
145.193.92.103,bots
145.21.147.141,bots
148.112.30.225,bots
150.7.94.215,bots
151.142.120.225,bots
152.38.107.77,bots
152.65.179.233,bots
154.118.218.198,bots
154.43.7.184,bots
157.254.89.110,bots
157.30.10.123,bots
158.40.233.155,bots
164.207.63.70,bots
164.213.205.64,bots
164.37.152.164,bots
165.255.113.181,bots
166.121.189.182,bots
167.162.240.112,bots
169.142.114.59,bots
170.77.113.144,bots
172.160.59.56,bots
172.182.118.94,bots
172.199.107.11,bots
173.175.82.251,bots
173.221.239.30,bots
173.250.247.11,bots
175.153.254.49,bots
177.16.8.55,bots
178.127.207.156,bots
180.192.141.180,bots
181.70.210.230,bots
182.105.69.223,bots
182.180.152.201,bots
182.193.127.142,bots
182.227.187.246,bots
182.250.217.251,bots
182.94.252.71,bots
184.1.192.63,bots
185.245.153.37,bots
186.187.253.93,bots
186.83.109.218,bots
186.85.243.236,bots
187.19.191.32,bots
187.234.16.138,bots
188.104.110.38,bots
188.94.226.182,bots
19.246.253.18,bots
190.146.212.1,bots
190.95.44.74,bots
192.60.36.12,bots
193.133.212.170,bots
193.89.164.11,bots
193.9.247.10,bots
194.108.115.193,bots
194.156.236.111,bots
194.185.73.147,bots
194.49.70.48,bots
195.102.127.145,bots
195.142.102.184,bots
195.153.14.117,bots
195.76.200.162,bots
196.102.197.76,bots
196.132.131.225,bots
196.153.13.203,bots
196.252.81.216,bots
196.255.208.204,bots
197.136.42.165,bots
197.188.125.191,bots
197.227.76.172,bots
197.245.126.24,bots
